DISTRICT,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,SUP Total,SUP # Retained,SUP % Retained,PRNC Total,PRNC # Retained,PRNC % Retained,TCHR Total,TCHR # Retained,TCHR % Retained,Total FTE Memb,General Fund Appropriations,"Grants, Revolving & Other Funds",Total Expenditures,Expenditure Per Pupil,SATs Taken,SAT Reading,SAT Writing,SAT Math,EngNot1stLang#,EngNot1stLang%,EngLangLrn#,EngLangLrn%,Disab#,Disab%,HighNeeds#,HighNeeds%,EconDisadv#,EconDisadv%,# Graduated,# Completed MassCore,% Completed MassCore,SCI P+A #,SCI P+A %,SCI A#,SCI A %,SCI P#,SCI P %,SCI NI #,SCI NI %,SCI W/F #,SCI W/F %,SCI Stud. Incl. #,SCI CPI,SCI SGP,SCI Incl. in SGP(#),MTH P+A #,MTH P+A %,MTH A #,MTH A %,MTH P #,MTH P %,MTH NI #,MTH NI %,MTH W/F #,MTH W/F %,MTH Stud. Incl. #,MTH CPI,MTH SGP,MTH Incl. in SGP(#),ELA P+A #,ELA P+A %,ELA A #,ELA A %,ELA P #,ELA P %,ELA NI #,ELA NI %,ELA W/F #,ELA W/F %,ELA Stud. Incl. #,ELA CPI,ELA SGP,ELA Incl. in SGP(#)
Community Day Charter Public School - R. Kingman Webster,1,1,92.5,5.5,0,0,0,51.5,48.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,131,65.5,106,53,9,4.5,142,71,93,46.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N/A,32,84,15,39,17,45,5,13,1,3,38,92.8,N/A,N/A,23,61,5,13,18,47,15,39,0,0,38,85.5,N/A
Concord,4.4,5.9,5.3,78.9,0.1,0,5.3,49.2,50.8,1,1,100,4,3,75,163,151,92.6,"2,212.00","$33,855,963","$2,546,189","$36,402,152","$16,457",#N/A,#N/A,#N/A,#N/A,117,5.5,54,2.6,392,18.3,503,23.4,93,4.4,#N/A,#N/A,#N/A,395,82,152,31,243,50,72,15,17,4,484,92.9,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Concord-Carlisle,4.8,8.6,3.3,81,0.2,0,2.2,47.7,52.3,1,1,100,1,1,100,102,94,92.2,"1,280.30","$24,046,929","$2,130,507","$26,177,436","$20,446",265,580,575,596,56,4.5,9,0.7,236,18.2,275,21.2,40,3.2,301,301,100,284,96,183,62,101,34,11,4,1,0,296,98.2,N/A,N/A,264,295,94,240,76,55,18,9,3,10,3,314,96.6,55,275,313,99,252,79,61,19,3,1,1,0,317,99.5,56
Conservatory Lab Charter (District),43.8,4.6,32.8,14.5,0,0,4.3,53.7,46.3,1,1,100,2,1,50,8,8,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,112,28.5,67,17,44,11.2,195,49.6,123,31.3,#N/A,#N/A,#N/A,6,11,1,2,5,9,32,60,15,28,53,58,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Conway,0,0.6,3,95.2,0,0,1.2,58.1,41.9,1,0,0,1,1,100,15,14,93.3,180.7,"$2,002,562","$568,625","$2,571,187","$14,229",#N/A,#N/A,#N/A,#N/A,2,1.2,0,0,28,16.8,45,26.9,21,12.6,#N/A,#N/A,#N/A,16,62,8,31,8,31,10,38,0,0,26,88.5,N/A,N/A,73,75,74,35,35,40,40,23,23,3,3,101,90.6,36,72,76,78,21,21,55,56,21,21,1,1,98,92.6,35.5
Danvers,2,2.8,5.8,87.1,0.1,0.1,2.1,51.7,48.3,1,1,100,8,7,87.5,269,248,92.2,"3,763.20","$46,429,720","$4,844,405","$51,274,125","$13,625",247,519,508,530,89,2.5,37,1,601,16.5,"1,074",29.5,566,15.8,239,239,100,426,52,84,10,342,42,302,37,87,11,815,79.7,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dartmouth,2,3.1,2.9,89.2,0.3,0.1,2.5,51.5,48.5,1,1,100,6,6,100,289,267,92.4,"3,785.50","$41,643,635","$3,747,275","$45,390,910","$11,991",184,500,488,529,188,5.1,102,2.7,468,12.5,"1,098",29.3,655,17.6,284,269,94.7,547,61,128,14,419,46,293,32,62,7,902,84.5,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dedham,7.3,3,12.2,73.8,0.3,0,3.3,52.2,47.8,1,1,100,7,6,85.7,233,214,91.8,"2,854.70","$43,908,525","$4,353,332","$48,261,857","$16,906",139,487,475,511,351,12.6,145,5.2,541,19.1,986,34.8,466,16.8,216,101,46.8,393,66,127,21,266,45,165,28,35,6,593,86.5,N/A,N/A,1208,1050,70,555,37,495,33,306,21,136,9,1492,86.3,50,1210,1130,76,316,21,814,55,278,19,84,6,1492,89.8,45
Deerfield,0.7,1.4,3.9,89.2,0.2,0,4.6,52.2,47.8,1,0,0,1,1,100,43,39,90.7,455,"$5,021,054","$1,118,610","$6,139,664","$13,494",#N/A,#N/A,#N/A,#N/A,8,1.8,6,1.4,76,17.4,121,27.6,57,13,#N/A,#N/A,#N/A,45,71,21,33,24,38,13,21,5,8,63,87.7,N/A,N/A,186,162,64,69,27,93,37,65,26,25,10,252,84.1,54,186,185,74,51,20,134,53,45,18,21,8,251,87.7,58
Dennis-Yarmouth,7.5,2.3,9,73.3,2,0,5.9,50.1,49.9,1,1,100,7,6,85.7,305,274,89.8,"3,529.30","$52,326,764","$5,744,117","$58,070,881","$16,454",117,484,472,483,386,12.8,222,7.3,508,16.5,"1,477",48.1,"1,025",33.9,169,159,94.1,280,44,59,9,221,35,242,38,118,18,640,72.8,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dighton-Rehoboth,1,1.2,3.6,92.2,0,0,2,53.4,46.6,1,0,0,7,5,71.4,226,203,89.8,"3,025.20","$34,621,949","$3,671,586","$38,293,535","$12,658",149,510,507,517,29,1,4,0.1,382,13,649,22.1,338,11.6,201,201,100,369,54,74,11,295,43,244,36,70,10,683,80.4,N/A,N/A,1334,963,58,382,23,581,35,486,29,205,12,1654,80.4,46,1335,1194,72,276,17,918,56,358,22,102,6,1654,89,48
Dorchester Collegiate Academy Charter,71.4,0.5,23.2,1.6,0,2.7,0.5,55.1,44.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,53,28.6,38,20.5,34,18.4,131,70.8,92,49.7,#N/A,#N/A,#N/A,5,7,0,0,5,7,39,55,27,38,71,48.6,N/A,N/A,151,62,36,15,9,47,27,70,41,40,23,172,66.4,64,143,77,47,2,1,75,46,61,37,25,15,163,75.2,46
Douglas,0.4,1.4,2,94.4,0.1,0.2,1.6,49.8,50.2,1,1,100,4,3,75,112,95,84.8,"1,667.30","$15,530,084","$2,022,392","$17,552,476","$10,527",80,508,500,490,2,0.1,1,0.1,271,17.4,427,27.5,196,12.7,119,41,34.5,219,61,73,20,146,41,116,32,24,7,359,83.6,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dover,3,8.1,4.1,79.7,0.2,0.2,4.7,55,45,1,0,0,1,0,0,44,39,88.6,526.7,"$10,336,055","$901,758","$11,237,813","$21,336",#N/A,#N/A,#N/A,#N/A,28,6,12,2.6,80,16.7,110,22.9,15,3.2,#N/A,#N/A,#N/A,79,73,36,33,43,40,23,21,6,6,108,91.7,N/A,N/A,187,229,81,133,47,96,34,44,16,8,3,281,93.7,53,185,237,84,84,30,153,54,38,14,6,2,281,94.7,59
Dover-Sherborn,2.1,6,2.5,86.5,0.1,0,2.9,50.8,49.2,1,0,0,2,0,0,106,100,94.3,"1,199.50","$19,315,971","$1,855,390","$21,171,361","$17,650",142,615,627,628,33,2.8,5,0.4,198,16.4,241,20,43,3.7,149,149,100,282,88,120,38,162,51,33,10,4,1,319,96.2,N/A,N/A,637,563,83,399,59,164,24,77,11,38,6,678,92.3,55,640,641,94,294,43,347,51,28,4,10,1,679,98,58
Dracut,4.3,4.6,6.8,82.7,0.1,0,1.5,51.7,48.3,1,1,100,6,5,83.3,219,194,88.6,"4,017.30","$40,099,954","$3,718,211","$43,818,165","$10,907",186,512,496,507,126,3.4,38,1,541,14.5,"1,128",30.2,663,18,262,262,100,406,51,85,11,321,41,299,38,86,11,791,78.9,N/A,N/A,1637,1133,55,448,22,685,33,614,30,315,15,2062,77.8,52,1636,1410,68,288,14,1122,54,497,24,155,8,2062,86.4,47
Dudley Street Neighborhood Charter School,67.3,0,31.4,0,0.5,0,0.9,42.7,57.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71,32.3,51,23.2,25,11.4,146,66.4,105,47.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dudley-Charlton Reg,1.3,1.3,6.1,89.1,0.2,0.2,1.9,50,50,1,1,100,7,7,100,272,253,93,#N/A,#N/A,#N/A,#N/A,#N/A,199,509,506,522,248,6.2,77,1.9,506,12.5,"1,128",27.9,675,16.9,267,147,55.1,607,63,161,17,446,47,300,31,52,5,959,85.9,N/A,N/A,1886,1508,66,689,30,819,36,572,25,202,9,2282,84.7,44,1887,1785,78,449,20,1336,59,412,18,82,4,2279,91.8,49
Duxbury,0.2,1.3,1.2,95.2,0.1,0,2.1,51.7,48.3,1,1,100,4,3,75,249,219,88,"3,276.80","$38,002,154","$3,651,999","$41,654,153","$12,712",261,553,553,571,14,0.4,8,0.2,444,13.6,555,17,136,4.2,221,221,100,578,75,193,25,385,50,178,23,14,2,770,91.3,N/A,N/A,1447,1395,79,722,41,673,38,298,17,65,4,1758,91.5,57,1443,1546,88,580,33,966,55,179,10,30,2,1755,95.8,59
East Bridgewater,2.2,0.5,1.2,93.3,0.3,0.2,2.3,49.9,50.1,1,0,0,3,3,100,125,115,92,"2,365.90","$21,713,685","$2,638,943","$24,352,628","$10,293",116,512,506,515,17,0.7,8,0.3,404,17.4,635,27.4,302,13.2,154,152,98.7,364,67,105,19,259,48,144,27,35,6,543,86,N/A,N/A,1066,822,65,374,29,448,35,320,25,128,10,1270,83.2,43.5,1062,991,78,324,26,667,53,226,18,47,4,1264,91.6,56
East Longmeadow,2.8,4.7,4.6,86.7,0.1,0.1,1.1,50.3,49.7,1,1,100,5,4,80,193,176,91.2,"2,776.50","$33,284,030","$3,695,988","$36,980,018","$13,319",165,522,510,536,151,5.6,59,2.2,478,17.5,821,30,388,14.5,209,173,82.8,395,60,92,14,303,46,216,33,44,7,655,84.7,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Eastham,4.4,2.2,0.5,89,1.6,0,2.2,47.8,52.2,1,1,100,1,1,100,24,23,95.8,218.3,"$4,614,199","$296,616","$4,910,815","$22,496",#N/A,#N/A,#N/A,#N/A,6,3.3,3,1.6,30,16.3,74,40.2,56,30.8,#N/A,#N/A,#N/A,15,41,2,5,13,35,18,49,4,11,37,78.4,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Easthampton,1.7,3.9,8.6,84.3,0.1,0,1.4,49.3,50.7,1,1,100,4,2,50,120,106,88.3,"1,873.70","$20,881,142","$1,809,618","$22,690,760","$12,110",71,506,502,524,80,5.2,22,1.4,276,17.7,604,38.6,395,25.7,112,103,92,138,36,30,8,108,28,183,48,64,17,385,70.4,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Easton,4.7,3,3.5,85.8,0.2,0.1,2.7,49.8,50.2,1,1,100,6,4,66.7,268,251,93.7,"3,890.80","$42,715,996","$3,825,941","$46,541,937","$11,962",256,534,529,535,112,3,42,1.1,630,16.4,920,24,339,8.9,303,303,100,582,64,141,15,441,48,289,32,42,5,913,86.3,N/A,N/A,1710,1507,73,748,36,759,37,399,19,163,8,2069,87.5,51,1706,1627,79,468,23,1159,56,342,17,97,5,2066,91.2,50
Edgartown,2.2,0.3,12.8,76.6,3.1,0,5,51.3,48.7,1,1,100,1,1,100,51,48,94.1,424.7,"$9,243,707","$380,659","$9,624,366","$22,662",#N/A,#N/A,#N/A,#N/A,65,18.1,40,11.1,81,22.6,176,49,85,23.7,#N/A,#N/A,#N/A,35,50,5,7,30,43,29,41,6,9,70,80.7,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Edward M. Kennedy Academy for Health Careers,48.5,3.9,40.4,3.6,1.4,0,2.2,32.3,67.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,81,428,416,426,144,40.1,45,12.5,41,11.4,196,54.6,150,41.8,#N/A,#N/A,#N/A,30,37,0,0,30,37,52,63,0,0,82,74.4,N/A,N/A,85,62,69,24,27,38,42,22,24,6,7,90,86.4,29,85,85,94,34,38,51,57,5,6,0,0,90,98.1,64
Erving,0,0,5,84.3,0,0,10.7,47.1,52.9,1,0,0,1,0,0,20,19,95,261.8,"$4,616,722","$228,889","$4,845,611","$18,509",#N/A,#N/A,#N/A,#N/A,0,0,0,0,35,24.8,63,44.7,44,31.4,#N/A,#N/A,#N/A,5,21,0,0,5,21,14,58,5,21,24,63.5,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Essex North Shore Agricultural and Technical School District,1.2,1.2,11.6,83.2,0.1,0.1,2.6,46,54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,110,469,451,470,55,4.9,3,0.3,276,24.5,429,38,201,17.8,#N/A,#N/A,#N/A,181,81,64,29,117,52,36,16,6,3,223,92.9,N/A,N/A,252,211,76,116,42,95,34,50,18,15,5,276,89.6,47.5,253,265,96,128,46,137,49,11,4,1,0,277,98.4,61
Everett,17.7,4.9,42.1,32.7,0.5,0.1,2,51.4,48.6,1,1,100,7,6,85.7,469,400,85.3,"7,486.40","$86,006,548","$12,191,465","$98,198,013","$13,117",333,428,404,429,"3,920",55.4,"1,056",14.9,"1,054",14.7,"4,273",59.6,"2,882",40.8,429,326,76,473,34,90,7,383,28,577,42,328,24,1378,66.1,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Excel Academy Charter,7.3,2.2,77.6,11.3,0.8,0,0.8,52,48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,347,57.5,94,15.6,93,15.4,372,61.6,251,41.6,#N/A,#N/A,#N/A,160,60,41,15,119,45,95,36,12,4,267,84.9,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fairhaven,0.9,2.1,5,89.4,0.3,0,2.4,51.6,48.4,1,1,100,5,4,80,142,118,83.1,"2,031.90","$23,942,920","$2,792,940","$26,735,860","$13,158",125,522,503,524,58,2.9,27,1.4,300,14.8,676,33.4,443,22.2,126,119,94.4,199,47,51,12,148,35,168,40,55,13,422,77.2,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fall River,7.2,4.5,22.1,59.7,0.2,0.1,6.3,51.2,48.8,1,1,100,17,12,70.6,752,579,77,"11,245.00","$127,839,725","$24,351,064","$152,190,789","$13,534",224,453,444,463,"2,044",19.9,798,7.8,"1,988",19.1,"6,946",66.9,"5,799",56.6,456,127,27.9,756,36,149,7,607,29,873,41,475,23,2104,68.3,N/A,N/A,3931,2414,44,926,17,1488,27,1592,29,1423,26,5429,70.1,54,3944,2753,51,583,11,2170,40,1766,32,918,17,5437,77.2,50
Falmouth,4.4,2.5,4.3,82.3,1.2,0.1,5.2,51.4,48.6,1,0,0,7,6,85.7,296,275,92.9,"3,693.50","$52,763,859","$4,893,277","$57,657,136","$15,610",154,514,515,524,184,5.2,51,1.4,688,19.1,"1,380",38.3,881,24.8,184,112,60.9,421,55,113,15,308,40,277,36,73,9,771,81.1,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Farmington River Reg,0.8,0,0,96.1,0,0,3.1,52.7,47.3,1,1,100,1,1,100,15,15,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,24,18.2,60,45.5,45,34.9,#N/A,#N/A,#N/A,7,44,0,0,7,44,5,31,4,25,16,71.9,N/A,N/A,47,35,59,13,22,22,37,14,24,10,17,59,79.7,44,47,40,68,8,14,32,54,14,24,5,8,59,86.4,63
Fitchburg,5.4,5.7,46.6,35.2,0,0.1,7,49.9,50.1,1,1,100,8,7,87.5,355,318,89.6,"5,639.60","$64,194,670","$12,973,117","$77,167,787","$13,683",228,409,397,415,"1,581",31.4,738,14.6,"1,162",22.6,"3,447",66.9,"2,667",52.9,328,252,76.8,292,31,52,5,240,25,430,45,234,24,956,66,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Florida,2.2,0,1.1,93.3,0,1.1,2.2,44.9,55.1,1,1,100,1,1,100,13,11,84.6,112.3,"$1,798,583","$81,642","$1,880,225","$16,743",#N/A,#N/A,#N/A,#N/A,0,0,0,0,27,30.3,45,50.6,28,31.5,#N/A,#N/A,#N/A,6,29,2,10,4,19,12,57,3,14,21,71.4,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Four Rivers Charter Public,0.9,2.8,3.7,88,0,0,4.6,47,53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,34,575,521,526,3,1.4,0,0,38,17.5,76,35,42,19.4,#N/A,#N/A,#N/A,48,71,16,24,32,47,15,22,5,7,68,86.8,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Foxborough,3.7,3.6,2.6,88.5,0.3,0.1,1.2,52.1,47.9,1,1,100,5,5,100,220,202,91.8,"2,835.90","$37,497,359","$3,020,941","$40,518,300","$14,288",187,526,525,534,30,1.1,19,0.7,444,16.3,679,24.9,320,11.8,189,17,9,430,67,116,18,314,49,180,28,31,5,641,86.5,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Foxborough Regional Charter,25.5,10.4,4.8,54.4,0,0.1,4.9,46.7,53.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56,521,494,500,165,13.1,70,5.5,125,9.9,307,24.3,137,10.9,#N/A,#N/A,#N/A,178,61,54,18,124,42,97,33,17,6,292,83.9,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Framingham,6.4,5.8,24.5,60,0,0,3.2,51.5,48.5,1,1,100,13,9,69.2,655,563,86,"8,899.80","$135,172,679","$17,010,671","$152,183,350","$17,100",352,523,515,551,"3,163",38.8,"1,285",15.8,"1,973",23.6,"4,341",51.9,"2,192",26.9,498,467,93.8,850,50,264,15,586,34,603,35,253,15,1706,75.9,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Francis W. Parker Charter Essential,0.3,1.8,3.6,92.6,0,0.3,1.5,52.2,47.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44,604,584,577,3,0.8,0,0,71,18.1,83,21.1,13,3.3,#N/A,#N/A,#N/A,90,68,11,8,79,59,41,31,2,2,133,88,N/A,N/A,184,157,77,73,36,84,41,39,19,9,4,205,90,45,187,181,88,63,31,118,58,22,11,2,1,205,96.1,36
Franklin,1.2,5,2.3,89.2,0.2,0.3,1.7,50.7,49.3,1,1,100,11,11,100,412,373,90.5,"6,251.60","$67,211,205","$7,105,714","$74,316,919","$11,888",363,546,534,555,253,4.5,66,1.2,898,15.8,"1,268",22.2,419,7.4,396,396,100,927,70,306,23,621,47,333,25,72,5,1332,88.3,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Franklin County Regional Vocational Technical,0.2,0.2,1.3,96.5,0.2,0,1.5,63.6,36.4,1,1,100,1,1,100,56,47,83.9,#N/A,#N/A,#N/A,#N/A,#N/A,13,472,455,483,2,0.4,0,0,149,28.7,271,52.2,165,31.8,111,107,96.4,75,68,11,10,64,58,34,31,1,1,110,90,N/A,N/A,114,88,70,34,27,54,43,29,23,9,7,126,86.9,49.5,114,114,90,20,16,94,75,9,7,3,2,126,96,39.5
Freetown-Lakeville,1,1,1.1,95.4,0.2,0.1,1.2,50.8,49.2,1,0,0,5,2,40,200,175,87.5,"3,008.60","$31,570,869","$3,128,166","$34,699,035","$11,533",171,523,505,523,13,0.5,2,0.1,381,13.3,690,24.1,380,13.4,210,38,18.1,386,60,104,16,282,44,226,35,35,5,647,84,N/A,N/A,1310,1061,65,431,26,630,38,414,25,167,10,1642,83.8,51,1305,1198,73,357,22,841,51,365,22,72,4,1635,89.9,55
Frontier,1,2.7,4,89,0,0.3,3,52.7,47.3,1,0,0,1,0,0,59,52,88.1,704.8,"$10,434,758","$1,620,991","$12,055,749","$17,105",72,530,514,538,15,2.5,1,0.2,129,21.1,181,29.6,76,12.7,93,71,76.3,106,54,24,12,82,42,66,34,25,13,197,80.2,N/A,N/A,289,194,61,87,27,107,34,79,25,44,14,317,81.9,48,288,248,78,80,25,168,53,51,16,17,5,316,92.4,46.5
Gardner,2.9,1.4,12.5,76.4,0.2,0.1,6.4,53.4,46.6,1,1,100,5,3,60,179,154,86,"2,624.50","$28,407,578","$2,912,350","$31,319,928","$11,934",90,489,478,497,166,6.7,107,4.3,523,20.9,"1,362",54.4,"1,065",43.1,141,8,5.7,145,29,23,5,122,25,255,51,97,20,497,65.9,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
